datetime,open,high,low,close,timestamp
2025-10-26 19:15:00,113561.760000,113570.750000,113513.000000,113524.000000,2025-10-26 19:15:00+00:00
2025-10-26 19:10:00,113560.020000,113566.730000,113514.000000,113561.750000,2025-10-26 19:10:00+00:00
2025-10-26 19:05:00,113552.320000,113612.000000,113536.080000,113560.020000,2025-10-26 19:05:00+00:00
2025-10-26 19:00:00,113596.000000,113608.730000,113551.240000,113552.320000,2025-10-26 19:00:00+00:00
2025-10-26 18:55:00,113657.130000,113674.000000,113580.330000,113595.990000,2025-10-26 18:55:00+00:00
2025-10-26 18:50:00,113685.120000,113713.690000,113656.920000,113657.140000,2025-10-26 18:50:00+00:00
2025-10-26 18:45:00,113691.000000,113760.880000,113660.000000,113685.120000,2025-10-26 18:45:00+00:00
2025-10-26 18:40:00,113750.000000,113760.880000,113687.770000,113691.010000,2025-10-26 18:40:00+00:00
2025-10-26 18:35:00,113646.210000,113750.000000,113640.010000,113750.000000,2025-10-26 18:35:00+00:00
2025-10-26 18:30:00,113515.840000,113667.930000,113515.840000,113646.200000,2025-10-26 18:30:00+00:00
2025-10-26 18:25:00,113562.470000,113572.260000,113465.200000,113515.840000,2025-10-26 18:25:00+00:00
2025-10-26 18:20:00,113561.280000,113626.280000,113537.700000,113562.470000,2025-10-26 18:20:00+00:00
2025-10-26 18:15:00,113577.750000,113598.020000,113531.790000,113556.760000,2025-10-26 18:15:00+00:00
2025-10-26 18:10:00,113520.850000,113585.190000,113517.230000,113577.760000,2025-10-26 18:10:00+00:00
2025-10-26 18:05:00,113519.260000,113541.990000,113498.000000,113520.840000,2025-10-26 18:05:00+00:00
2025-10-26 18:00:00,113451.440000,113533.460000,113445.670000,113522.980000,2025-10-26 18:00:00+00:00
2025-10-26 17:55:00,113506.160000,113506.160000,113446.070000,113451.660000,2025-10-26 17:55:00+00:00
2025-10-26 17:50:00,113565.860000,113628.180000,113502.000000,113505.200000,2025-10-26 17:50:00+00:00
2025-10-26 17:45:00,113561.480000,113599.790000,113556.750000,113565.860000,2025-10-26 17:45:00+00:00
2025-10-26 17:40:00,113599.590000,113603.610000,113553.230000,113561.480000,2025-10-26 17:40:00+00:00
2025-10-26 17:35:00,113653.990000,113667.930000,113599.580000,113599.580000,2025-10-26 17:35:00+00:00
2025-10-26 17:30:00,113639.050000,113653.990000,113606.700000,113653.990000,2025-10-26 17:30:00+00:00
2025-10-26 17:25:00,113644.060000,113672.000000,113639.780000,113639.780000,2025-10-26 17:25:00+00:00
2025-10-26 17:20:00,113682.970000,113729.610000,113643.950000,113644.060000,2025-10-26 17:20:00+00:00
2025-10-26 17:15:00,113671.440000,113682.980000,113620.040000,113682.980000,2025-10-26 17:15:00+00:00
2025-10-26 17:10:00,113677.990000,113750.000000,113649.880000,113674.000000,2025-10-26 17:10:00+00:00
2025-10-26 17:05:00,113568.140000,113684.000000,113521.100000,113678.000000,2025-10-26 17:05:00+00:00
2025-10-26 17:00:00,113515.960000,113600.000000,113451.680000,113568.150000,2025-10-26 17:00:00+00:00
2025-10-26 16:55:00,113740.000000,113741.990000,113513.620000,113518.850000,2025-10-26 16:55:00+00:00
2025-10-26 16:50:00,113732.010000,113749.990000,113669.990000,113740.000000,2025-10-26 16:50:00+00:00
2025-10-26 16:45:00,113637.230000,113750.000000,113620.310000,113732.010000,2025-10-26 16:45:00+00:00
2025-10-26 16:40:00,113529.850000,113648.780000,113521.340000,113639.970000,2025-10-26 16:40:00+00:00
2025-10-26 16:35:00,113431.880000,113571.440000,113424.110000,113529.990000,2025-10-26 16:35:00+00:00
2025-10-26 16:30:00,113394.490000,113463.950000,113310.900000,113431.890000,2025-10-26 16:30:00+00:00
2025-10-26 16:25:00,113401.730000,113460.000000,113389.820000,113395.230000,2025-10-26 16:25:00+00:00
2025-10-26 16:20:00,113367.150000,113414.000000,113342.410000,113401.730000,2025-10-26 16:20:00+00:00
2025-10-26 16:15:00,113452.520000,113464.000000,113279.240000,113367.980000,2025-10-26 16:15:00+00:00
2025-10-26 16:10:00,113521.090000,113560.770000,113440.010000,113450.240000,2025-10-26 16:10:00+00:00
2025-10-26 16:05:00,113563.920000,113569.760000,113468.250000,113521.570000,2025-10-26 16:05:00+00:00
2025-10-26 16:00:00,113700.000000,113736.650000,113489.060000,113565.730000,2025-10-26 16:00:00+00:00
2025-10-26 15:55:00,113699.410000,113743.900000,113652.100000,113701.920000,2025-10-26 15:55:00+00:00
2025-10-26 15:50:00,113520.330000,113699.140000,113504.910000,113699.140000,2025-10-26 15:50:00+00:00
2025-10-26 15:45:00,113495.890000,113579.090000,113474.090000,113515.320000,2025-10-26 15:45:00+00:00
2025-10-26 15:40:00,113481.690000,113521.100000,113458.300000,113495.900000,2025-10-26 15:40:00+00:00
2025-10-26 15:35:00,113554.000000,113587.650000,113462.750000,113485.290000,2025-10-26 15:35:00+00:00
2025-10-26 15:30:00,113519.900000,113584.910000,113490.420000,113550.020000,2025-10-26 15:30:00+00:00
2025-10-26 15:25:00,113469.040000,113537.990000,113427.000000,113518.090000,2025-10-26 15:25:00+00:00
2025-10-26 15:20:00,113498.670000,113568.300000,113456.970000,113469.040000,2025-10-26 15:20:00+00:00
2025-10-26 15:15:00,113535.880000,113618.250000,113457.720000,113496.000000,2025-10-26 15:15:00+00:00
2025-10-26 15:10:00,113546.010000,113567.880000,113530.000000,113535.990000,2025-10-26 15:10:00+00:00
2025-10-26 15:05:00,113474.540000,113568.000000,113458.010000,113546.030000,2025-10-26 15:05:00+00:00
2025-10-26 15:00:00,113564.830000,113616.000000,113452.000000,113474.540000,2025-10-26 15:00:00+00:00
2025-10-26 14:55:00,113597.090000,113617.250000,113550.010000,113564.830000,2025-10-26 14:55:00+00:00
2025-10-26 14:50:00,113778.010000,113786.630000,113541.750000,113597.140000,2025-10-26 14:50:00+00:00
2025-10-26 14:45:00,113860.840000,113869.990000,113771.090000,113778.010000,2025-10-26 14:45:00+00:00
2025-10-26 14:40:00,113861.600000,113894.350000,113793.420000,113860.850000,2025-10-26 14:40:00+00:00
2025-10-26 14:35:00,113728.030000,113874.360000,113707.000000,113861.600000,2025-10-26 14:35:00+00:00
2025-10-26 14:30:00,113709.660000,113820.620000,113632.290000,113728.030000,2025-10-26 14:30:00+00:00
2025-10-26 14:25:00,113685.050000,113732.620000,113652.050000,113709.660000,2025-10-26 14:25:00+00:00
2025-10-26 14:20:00,113868.000000,113886.540000,113656.630000,113685.050000,2025-10-26 14:20:00+00:00
2025-10-26 14:15:00,113803.010000,113935.320000,113697.020000,113868.010000,2025-10-26 14:15:00+00:00
2025-10-26 14:10:00,113746.000000,113821.660000,113739.050000,113803.150000,2025-10-26 14:10:00+00:00
2025-10-26 14:05:00,113750.000000,113812.950000,113706.990000,113745.990000,2025-10-26 14:05:00+00:00
2025-10-26 14:00:00,113725.470000,113765.990000,113615.980000,113750.010000,2025-10-26 14:00:00+00:00
2025-10-26 13:55:00,113594.030000,113766.000000,113585.200000,113724.290000,2025-10-26 13:55:00+00:00
2025-10-26 13:50:00,113708.950000,113771.080000,113594.010000,113594.030000,2025-10-26 13:50:00+00:00
2025-10-26 13:45:00,113841.600000,114054.850000,113668.540000,113708.960000,2025-10-26 13:45:00+00:00
2025-10-26 13:40:00,113644.720000,114000.000000,113623.030000,113843.800000,2025-10-26 13:40:00+00:00
2025-10-26 13:35:00,113608.570000,113658.980000,113536.330000,113658.980000,2025-10-26 13:35:00+00:00
2025-10-26 13:30:00,113641.610000,113699.080000,113571.020000,113608.570000,2025-10-26 13:30:00+00:00
2025-10-26 13:25:00,113596.190000,113697.830000,113489.050000,113641.610000,2025-10-26 13:25:00+00:00
2025-10-26 13:20:00,113489.960000,113600.000000,113486.010000,113598.880000,2025-10-26 13:20:00+00:00
2025-10-26 13:15:00,113398.010000,113499.130000,113276.000000,113492.120000,2025-10-26 13:15:00+00:00
2025-10-26 13:10:00,113480.000000,113530.240000,113396.660000,113401.900000,2025-10-26 13:10:00+00:00
2025-10-26 13:05:00,113522.020000,113540.330000,113383.110000,113485.990000,2025-10-26 13:05:00+00:00
2025-10-26 13:00:00,113592.390000,113673.060000,113471.990000,113521.090000,2025-10-26 13:00:00+00:00
2025-10-26 12:55:00,113542.010000,113673.230000,113542.010000,113592.400000,2025-10-26 12:55:00+00:00
2025-10-26 12:50:00,113726.010000,113769.550000,113518.170000,113544.000000,2025-10-26 12:50:00+00:00
2025-10-26 12:45:00,113502.010000,113743.380000,113502.010000,113726.010000,2025-10-26 12:45:00+00:00
2025-10-26 12:40:00,113558.000000,113581.800000,113489.060000,113499.660000,2025-10-26 12:40:00+00:00
2025-10-26 12:35:00,113575.990000,113720.000000,113516.000000,113567.760000,2025-10-26 12:35:00+00:00
2025-10-26 12:30:00,113649.300000,113749.980000,113556.780000,113578.240000,2025-10-26 12:30:00+00:00
2025-10-26 12:25:00,113560.340000,113680.320000,113521.110000,113649.310000,2025-10-26 12:25:00+00:00
2025-10-26 12:20:00,113706.020000,113706.020000,113543.140000,113563.900000,2025-10-26 12:20:00+00:00
2025-10-26 12:15:00,113739.040000,113834.640000,113661.170000,113706.020000,2025-10-26 12:15:00+00:00
2025-10-26 12:10:00,113522.700000,113826.420000,113500.020000,113733.780000,2025-10-26 12:10:00+00:00
2025-10-26 12:05:00,113437.780000,113623.040000,113424.950000,113522.710000,2025-10-26 12:05:00+00:00
2025-10-26 12:00:00,113303.150000,113495.440000,113284.010000,113437.780000,2025-10-26 12:00:00+00:00
2025-10-26 11:55:00,113207.020000,113348.880000,113207.010000,113303.160000,2025-10-26 11:55:00+00:00
2025-10-26 11:50:00,113256.600000,113289.730000,113080.000000,113207.020000,2025-10-26 11:50:00+00:00
2025-10-26 11:45:00,113341.620000,113500.000000,113091.000000,113256.600000,2025-10-26 11:45:00+00:00
2025-10-26 11:40:00,112978.860000,113437.640000,112974.000000,113341.610000,2025-10-26 11:40:00+00:00
2025-10-26 11:35:00,112792.680000,112991.550000,112792.680000,112978.870000,2025-10-26 11:35:00+00:00
2025-10-26 11:30:00,112700.000000,112818.000000,112687.250000,112796.760000,2025-10-26 11:30:00+00:00
2025-10-26 11:25:00,112733.890000,112781.060000,112698.150000,112700.000000,2025-10-26 11:25:00+00:00
2025-10-26 11:20:00,112623.820000,112745.390000,112593.250000,112733.890000,2025-10-26 11:20:00+00:00
2025-10-26 11:15:00,112528.000000,112675.990000,112516.000000,112623.790000,2025-10-26 11:15:00+00:00
2025-10-26 11:10:00,112530.440000,112552.680000,112495.000000,112530.020000,2025-10-26 11:10:00+00:00
2025-10-26 11:05:00,112512.270000,112586.010000,112448.670000,112543.940000,2025-10-26 11:05:00+00:00
2025-10-26 11:00:00,112500.000000,112602.160000,112499.990000,112522.000000,2025-10-26 11:00:00+00:00
2025-10-26 10:55:00,112479.750000,112500.000000,112431.410000,112499.990000,2025-10-26 10:55:00+00:00
2025-10-26 10:50:00,112516.510000,112529.310000,112479.760000,112479.760000,2025-10-26 10:50:00+00:00
2025-10-26 10:45:00,112429.190000,112516.510000,112405.570000,112516.510000,2025-10-26 10:45:00+00:00
2025-10-26 10:40:00,112458.470000,112468.000000,112401.410000,112429.190000,2025-10-26 10:40:00+00:00
2025-10-26 10:35:00,112228.860000,112458.470000,112200.820000,112458.460000,2025-10-26 10:35:00+00:00
2025-10-26 10:30:00,112350.000000,112361.660000,112228.860000,112228.870000,2025-10-26 10:30:00+00:00
2025-10-26 10:25:00,112362.010000,112382.780000,112339.020000,112350.010000,2025-10-26 10:25:00+00:00
2025-10-26 10:20:00,112400.960000,112415.060000,112342.720000,112362.020000,2025-10-26 10:20:00+00:00
2025-10-26 10:15:00,112416.430000,112442.430000,112322.440000,112401.950000,2025-10-26 10:15:00+00:00
2025-10-26 10:10:00,112359.570000,112424.560000,112345.790000,112416.430000,2025-10-26 10:10:00+00:00
2025-10-26 10:05:00,112422.530000,112422.530000,112360.000000,112360.000000,2025-10-26 10:05:00+00:00
2025-10-26 10:00:00,112559.590000,112604.000000,112418.580000,112422.540000,2025-10-26 10:00:00+00:00
2025-10-26 09:55:00,112436.020000,112566.670000,112436.010000,112557.990000,2025-10-26 09:55:00+00:00
2025-10-26 09:50:00,112432.710000,112487.660000,112360.890000,112436.020000,2025-10-26 09:50:00+00:00
2025-10-26 09:45:00,112355.900000,112609.680000,112264.750000,112432.020000,2025-10-26 09:45:00+00:00
2025-10-26 09:40:00,112373.710000,112479.100000,112243.630000,112354.480000,2025-10-26 09:40:00+00:00
2025-10-26 09:35:00,112464.040000,112559.600000,112372.160000,112373.720000,2025-10-26 09:35:00+00:00
2025-10-26 09:30:00,112681.390000,112800.000000,112433.850000,112463.450000,2025-10-26 09:30:00+00:00
2025-10-26 09:25:00,112345.960000,112749.980000,112271.150000,112678.290000,2025-10-26 09:25:00+00:00
2025-10-26 09:20:00,111847.680000,112385.870000,111810.020000,112345.960000,2025-10-26 09:20:00+00:00
2025-10-26 09:15:00,111733.620000,111849.800000,111733.620000,111849.640000,2025-10-26 09:15:00+00:00
2025-10-26 09:10:00,111760.010000,111778.460000,111733.620000,111733.620000,2025-10-26 09:10:00+00:00
2025-10-26 09:05:00,111763.160000,111796.800000,111750.000000,111760.000000,2025-10-26 09:05:00+00:00
2025-10-26 09:00:00,111796.630000,111811.980000,111750.000000,111763.150000,2025-10-26 09:00:00+00:00
2025-10-26 08:55:00,111843.010000,111843.010000,111793.070000,111796.460000,2025-10-26 08:55:00+00:00
2025-10-26 08:50:00,111852.010000,111865.000000,111834.010000,111838.630000,2025-10-26 08:50:00+00:00
2025-10-26 08:45:00,111861.050000,111866.190000,111830.000000,111852.010000,2025-10-26 08:45:00+00:00
2025-10-26 08:40:00,111833.200000,111864.750000,111826.000000,111861.050000,2025-10-26 08:40:00+00:00
2025-10-26 08:35:00,111817.310000,111833.200000,111774.220000,111833.200000,2025-10-26 08:35:00+00:00
2025-10-26 08:30:00,111820.010000,111828.850000,111795.000000,111815.990000,2025-10-26 08:30:00+00:00
2025-10-26 08:25:00,111798.050000,111827.990000,111778.600000,111825.960000,2025-10-26 08:25:00+00:00
2025-10-26 08:20:00,111775.690000,111829.130000,111775.690000,111798.050000,2025-10-26 08:20:00+00:00
2025-10-26 08:15:00,111815.810000,111831.530000,111749.830000,111775.690000,2025-10-26 08:15:00+00:00
2025-10-26 08:10:00,111817.620000,111834.460000,111812.830000,111815.810000,2025-10-26 08:10:00+00:00
2025-10-26 08:05:00,111804.020000,111855.970000,111804.010000,111817.980000,2025-10-26 08:05:00+00:00
2025-10-26 08:00:00,111749.880000,111819.990000,111749.880000,111805.970000,2025-10-26 08:00:00+00:00
2025-10-26 07:55:00,111715.980000,111749.980000,111715.970000,111749.980000,2025-10-26 07:55:00+00:00
2025-10-26 07:50:00,111730.460000,111745.990000,111669.500000,111715.980000,2025-10-26 07:50:00+00:00
2025-10-26 07:45:00,111678.410000,111745.990000,111678.410000,111727.140000,2025-10-26 07:45:00+00:00
2025-10-26 07:40:00,111703.980000,111713.990000,111677.780000,111678.420000,2025-10-26 07:40:00+00:00
2025-10-26 07:35:00,111663.500000,111715.560000,111663.490000,111700.660000,2025-10-26 07:35:00+00:00
2025-10-26 07:30:00,111663.890000,111685.740000,111657.900000,111663.500000,2025-10-26 07:30:00+00:00
2025-10-26 07:25:00,111665.730000,111675.800000,111652.000000,111663.890000,2025-10-26 07:25:00+00:00
2025-10-26 07:20:00,111681.440000,111693.950000,111660.000000,111665.740000,2025-10-26 07:20:00+00:00
2025-10-26 07:15:00,111689.260000,111716.000000,111677.140000,111681.430000,2025-10-26 07:15:00+00:00
2025-10-26 07:10:00,111713.480000,111715.070000,111662.250000,111689.260000,2025-10-26 07:10:00+00:00
2025-10-26 07:05:00,111675.720000,111728.000000,111666.980000,111713.470000,2025-10-26 07:05:00+00:00
2025-10-26 07:00:00,111645.440000,111675.720000,111620.430000,111675.720000,2025-10-26 07:00:00+00:00
2025-10-26 06:55:00,111612.210000,111666.670000,111612.210000,111642.000000,2025-10-26 06:55:00+00:00
